평가일자,업종코드,분기코드,계절코드,요일코드,과속건수20키로미터초과,장기과속건수,급가속건수,급출발건수,급감속건수,급정지건수,급좌회전건수,급우회전건수,급유턴건수,급앞지르기건수,급진로변경건수,위험운전행동건수,운행거리,생성일시
2020-07-16,15,3,2,5,16188,0,3425,20,2798,83,2720,1018,1262,181,1670,29365,536990,2023-08-01
2020-07-16,16,3,2,5,298811,0,768830,393,152738,80629,60472,41643,6478,27342,73998,1511334,2786405,2023-08-01
2020-07-16,17,3,2,5,2414,0,4001,1,1719,310,306,363,175,229,748,10266,27197,2023-08-01
2020-07-16,21,3,2,5,1009372,0,1713342,6999,148608,113997,131602,104617,16714,117122,86811,3449184,5031587,2023-08-01
2020-07-16,22,3,2,5,6575,0,4769,12,493,245,397,240,45,351,680,13807,29483,2023-08-01
2020-07-16,31,3,2,5,547201,15,1005408,4310,464400,222436,91630,96229,29044,70691,343636,2875000,8093607,2023-08-01
2020-07-16,32,3,2,5,13309,0,37187,59,18779,3479,2266,2481,461,1553,8908,88482,209902,2023-08-01
2020-07-16,41,3,2,5,2637,0,5690,4,2293,491,607,432,22,303,791,13270,11871,2023-08-01
2020-07-16,42,3,2,5,890,0,2916,0,556,4563,315,282,213,93,222,10050,21550,2023-08-01
2020-07-16,99,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-08-01
2020-07-17,11,3,2,6,391864,32,1297500,3892,973048,247657,374839,243636,107361,109757,547308,4296894,7670327,2023-08-01
2020-07-17,12,3,2,6,64968,0,23086,17,35872,13262,25853,17019,6697,2415,12192,201381,519849,2023-08-01
2020-07-17,13,3,2,6,30874,0,224362,119,105157,64187,44149,25144,9099,13116,39021,555228,788128,2023-08-01
2020-07-17,14,3,2,6,119626,1,46492,51,23993,9878,13346,11913,8661,3510,17422,254893,1791313,2023-08-01
2020-07-17,15,3,2,6,16936,0,3715,35,3694,76,2880,1003,1288,215,1979,31821,580675,2023-08-01
2020-07-17,16,3,2,6,296664,0,755675,414,151087,81606,59825,40956,6526,26963,73980,1493696,2832355,2023-08-01
2020-07-17,17,3,2,6,2255,0,3848,5,1575,271,375,415,168,199,857,9968,27422,2023-08-01
2020-07-17,21,3,2,6,1180794,0,2078057,8021,176814,133755,156358,123242,19590,138833,101069,4116533,6031790,2023-08-01
2020-07-17,22,3,2,6,9504,0,7248,25,818,376,526,315,85,534,623,20054,40976,2023-08-01
2020-07-17,31,3,2,6,520503,5,989860,4571,463347,212644,90582,95261,29697,70154,336542,2813166,7838344,2023-08-01
2020-07-17,32,3,2,6,12642,0,36907,81,17948,3472,2385,2673,411,1720,8629,86868,199328,2023-08-01
2020-07-17,41,3,2,6,3189,0,6636,4,2928,488,637,479,33,335,842,15571,14282,2023-08-01
2020-07-17,42,3,2,6,812,0,2076,0,439,3363,284,232,161,80,175,7622,18338,2023-08-01
2020-07-18,11,3,2,7,354638,32,1084869,3370,791897,194053,324853,215325,92481,90714,480900,3633132,6617189,2023-08-01
2020-07-18,12,3,2,7,62258,0,21384,14,30850,10348,25010,17169,6124,2122,11641,186920,506222,2023-08-01
2020-07-18,13,3,2,7,24429,0,144907,90,73443,44493,35859,21733,7543,9156,31589,393242,625801,2023-08-01
2020-07-18,14,3,2,7,121696,3,43456,77,22262,5861,13161,12681,7044,3351,16550,246142,1766999,2023-08-01
2020-07-18,15,3,2,7,18548,0,3903,26,2902,62,2656,1218,1268,180,1743,32506,604170,2023-08-01
2020-07-18,16,3,2,7,163614,0,240766,154,55844,27855,21454,16249,2656,8583,26065,563240,1519762,2023-08-01
2020-07-18,17,3,2,7,1987,0,3499,3,1538,234,316,384,166,185,580,8892,19944,2023-08-01
