운행기록데이터 바디 항목,일일주행거리(KM),누적운행거리(KM),정보발생일시,운행속도(KMH),RPM,브레이크신호,시작GPS(X좌표),시작GPS(Y좌표),GPS방위각,가속도 Vx,가속도 Vy,통신상태코드,운행지역코드
운행기록데이터 바디,8,97703,2025020608294700,18,1231,0,126889856,37648460,251,1.2,-1.2,0,4128111100
운행기록데이터 바디,8,97703,2025020608294800,22,1313,0,126889784,37648440,250,2.5,-1.2,0,4128111100
운행기록데이터 바디,8,97703,2025020608294900,25,1337,0,126889712,37648416,249,1.8,-1.2,0,4128111100
운행기록데이터 바디,8,97703,2025020608295000,27,1326,0,126889624,37648384,247,1.2,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608295100,28,1297,0,126889552,37648356,246,1.2,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608295200,28,1243,0,126889472,37648328,243,-1.2,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608295300,27,1185,1,126889408,37648312,246,0.0,-1.8,0,4128111100
운행기록데이터 바디,8,97703,2025020608295400,26,1057,1,126889344,37648288,245,-1.8,-1.8,0,4128111100
운행기록데이터 바디,8,97703,2025020608295500,24,950,1,126889280,37648264,242,-4.9,-1.8,0,4128111100
운행기록데이터 바디,8,97703,2025020608295600,22,890,0,126889240,37648244,240,4.9,-1.8,0,4128111100
운행기록데이터 바디,8,97703,2025020608295700,20,831,1,126889192,37648224,240,-1.8,-1.8,0,4128111100
운행기록데이터 바디,8,97703,2025020608295800,18,848,1,126889144,37648204,238,-1.2,-2.5,0,4128111100
운행기록데이터 바디,8,97703,2025020608295900,16,973,0,126889112,37648180,229,0.0,-3.1,0,4128111100
운행기록데이터 바디,8,97703,2025020608300000,14,835,0,126889088,37648160,217,-1.2,-3.1,0,4128111100
운행기록데이터 바디,8,97703,2025020608300100,12,726,0,126889088,37648136,166,-1.2,-2.5,0,4128111100
운행기록데이터 바디,8,97703,2025020608300200,10,661,1,126889096,37648116,153,0.0,-1.8,0,4128111100
운행기록데이터 바디,8,97703,2025020608300300,9,658,1,126889104,37648096,132,-1.2,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608300400,8,665,0,126889120,37648080,119,1.2,0.0,0,4128111100
운행기록데이터 바디,8,97703,2025020608300500,6,879,0,126889120,37648072,119,1.8,-1.2,0,4128111100
운행기록데이터 바디,8,97703,2025020608300600,3,682,0,126889128,37648064,119,1.8,-1.8,0,4128111100
운행기록데이터 바디,8,97703,2025020608300700,1,584,0,126889128,37648064,119,1.8,-1.8,0,4128111100
운행기록데이터 바디,8,97703,2025020608300800,2,659,0,126889128,37648064,119,1.8,-0.6,0,4128111100
